key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	shrapnel	explosion_particle_effect	fuse_distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	camera_shake	detonation_force	fuse_fixed_time	affects_allies	is_spell
#projectiles_explosions_tables;19;db/projectiles_explosions_tables/nanu_dynamic_rors_grn																				
nanu_grn_idol_arcane_fire	percussive	shockwave	6.0000	0.0000	12.0000	50.0000		wh_dlc06_skarsnik_explosion	0.0000		wh_large_rock		100.0000	true	55.0000	wh_main_unit_explosion_medium	50.0000	-1.0000	true	false
nanu_grn_idol_flaming	percussive	shockwave	6.0000	0.0000	12.0000	75.0000		wh_dlc06_skarsnik_explosion	0.0000		wh_large_rock		100.0000	false	35.0000	wh_main_unit_explosion_medium	10.0000	-1.0000	true	false
nanu_grn_idol_frozen	percussive	shockwave	4.0000	0.0000	12.0000	20.0000		nanu_particle_effect_explosion_ice_lingering	0.0000		wh_large_rock		0.0000	false	75.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_grn_idol_lightning	percussive	shockwave	4.0000	0.0000	12.0000	20.0000		nanu_particle_effect_explosion_lightning	0.0000		wh_large_rock		0.0000	false	75.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_grn_idol_magic	percussive	shockwave	4.0000	0.0000	12.0000	20.0000		wh2_dlc15_rogue_boulder_explosion	0.0000		wh_large_rock		0.0000	true	75.0000	wh_main_unit_explosion_medium	180.0000	-1.0000	true	false
nanu_grn_idol_poison	percussive	shockwave	4.0000	0.0000	12.0000	65.0000		wh_dlc08_copious_vomit_impact	0.0000		wh_large_rock		0.0000	false	45.0000	wh_main_unit_explosion_medium	10.0000	-1.0000	true	false
nanu_grn_idol_multi_frozen	percussive	shockwave	3.0000	0.0000	12.0000	35.0000		nanu_particle_effect_explosion_ice_small_lingering	0.0000		wh_large_rock		0.0000	false	15.0000	wh_main_unit_explosion_medium	60.0000	-1.0000	true	false
nanu_grn_idol_multi_lightning	percussive	shockwave	3.0000	0.0000	12.0000	35.0000		wh2_main_machine_warp_lightning_doomwheel_impact	0.0000		wh_large_rock		0.0000	false	15.0000	wh_main_unit_explosion_medium	60.0000	-1.0000	true	false
nanu_grn_idol_multi_magic	percussive	shockwave	3.0000	0.0000	12.0000	35.0000		wh2_dlc15_rogue_boulder_explosion	0.0000		wh_large_rock		0.0000	false	15.0000	wh_main_unit_explosion_medium	60.0000	-1.0000	true	false
nanu_grn_idol_multi_poison	percussive	shockwave	3.0000	0.0000	12.0000	35.0000		wh_dlc08_copious_vomit_impact	0.0000		wh_large_rock		0.0000	false	15.0000	wh_main_unit_explosion_medium	60.0000	-1.0000	true	false
