key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	shrapnel	explosion_particle_effect	fuse_distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	camera_shake	detonation_force	fuse_fixed_time	affects_allies	is_spell
#projectiles_explosions_tables;19;db/projectiles_explosions_tables/nanu_dynamic_rors_cst																				
nanu_cst_bomb_explosion_arcane_fire	percussive	shockwave	3.0000	0.0000	13.0000	8.0000		wh_main_generic_explosion_mine	0.0000		wh_blasting_charge		25.0000	true	8.0000	wh_main_unit_explosion_light	200.0000	1.0000	true	false
nanu_cst_bomb_explosion_magic	percussive	shockwave	3.0000	0.0000	13.0000	8.0000			0.0000		wh_blasting_charge		0.0000	true	8.0000	wh_main_unit_explosion_light	200.0000	1.0000	true	false
nanu_cst_bomb_promethean_explosion_arcane_fire	percussive	shockwave	4.0000	0.0000	13.0000	24.0000		wh_main_generic_explosion_mine	0.0000		wh_blasting_charge		25.0000	false	12.0000	wh_main_unit_explosion_light	200.0000	1.0000	true	false
nanu_cst_bomb_promethean_explosion_flaming	percussive	shockwave	5.0000	0.0000	13.0000	32.0000		wh_main_generic_explosion_mine	0.0000		wh_blasting_charge		25.0000	false	8.0000	wh_main_unit_explosion_light	200.0000	1.0000	true	false
nanu_cst_bomb_promethean_explosion_magic	percussive	shockwave	4.0000	0.0000	13.0000	24.0000			0.0000		wh_blasting_charge		25.0000	false	12.0000	wh_main_unit_explosion_light	200.0000	1.0000	true	false
nanu_cst_mortar_bomb_multi_arcane_fire	fuse	shockwave	6.0000	0.0000	13.0000	200.0000	nanu_cst_mortar_bomb_multi_arcane_fire	wh2_dlc11_weapon_gunners_impact	50.0000		wh_mortar		25.0000	false	50.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	false
nanu_cst_mortar_bomb_multi_magic	fuse	shockwave	6.0000	0.0000	13.0000	200.0000	nanu_cst_mortar_bomb_multi_magic	wh2_dlc11_weapon_gunners_ethereal_impact	50.0000		wh_mortar		0.0000	false	50.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	false
nanu_cst_mortar_bomb_multi_magic_shrapnel	percussive	shockwave	3.0000	0.0000	13.0000	32.0000			0.0000		wh_blasting_charge		0.0000	false	28.0000	wh_main_unit_explosion_light	300.0000	1.0000	true	false
nanu_cst_queen_bess_arcane_fire	percussive	shockwave	12.0000	0.0000	12.0000	15.0000		wh2_dlc11_machine_queen_bess_impact	0.0000		wh2_dlc_12_queen_bess	wh2_dlc11_unit_contact_monstrous_impact	10.0000	true	75.0000	wh_main_unit_explosion_heavy	450.0000	-1.0000	true	false
